Elapsed time,ECG,EMG,foot GSR,hand GSR,HR,marker,RESP
'0:02.986',-0.166,0.352,5.842,9.732,94.0,12.48,29.92
'0:02.988',-0.167,0.352,5.842,9.732,94.0,12.48,29.92
'0:02.990',-0.151,0.352,5.842,9.732,94.0,12.48,29.92
'0:02.992',-0.15,0.352,5.842,9.732,94.0,12.48,29.92
'0:02.994',-0.164,0.352,5.842,9.732,94.0,12.48,29.92
'0:02.996',-0.154,0.352,5.842,9.732,94.0,12.48,29.92
'0:02.998',-0.137,0.352,5.842,9.732,94.0,12.48,29.92
'0:03.000',-0.133,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.002',-0.127,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.004',-0.122,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.006',-0.117,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.008',-0.101,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.010',-0.094,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.012',-0.1,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.014',-0.1,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.016',-0.094,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.018',-0.087,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.020',-0.076,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.022',-0.068,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.024',-0.066,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.026',-0.066,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.028',-0.065,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.030',-0.054,0.352,5.839,9.725,94.0,12.48,29.65
'0:03.032',-0.044,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.034',-0.039,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.036',-0.04,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.038',-0.042,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.040',-0.029,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.042',-0.009,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.044',0.006,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.046',0.009,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.048',0.007,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.050',0.005,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.052',0.001,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.054',-0.005,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.056',-0.013,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.058',-0.017,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.060',-0.017,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.063',-0.016,0.559,5.834,9.717,94.0,12.48,29.45
'0:03.065',-0.012,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.067',-0.007,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.069',-0.009,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.071',-0.01,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.073',-0.005,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.075',-0.002,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.077',-0.006,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.079',-0.007,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.081',-0.004,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.083',0.001,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.085',-0.005,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.087',-0.012,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.089',-0.022,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.091',-0.034,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.093',-0.046,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.095',-0.061,0.559,5.83,9.715,94.0,12.48,29.25
'0:03.097',-0.073,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.099',-0.081,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.101',-0.099,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.103',-0.127,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.105',-0.142,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.107',-0.133,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.109',-0.15,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.111',-0.172,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.113',-0.168,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.115',-0.17,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.117',-0.172,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.119',-0.175,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.121',-0.182,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.123',-0.189,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.125',-0.204,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.127',-0.233,0.435,5.822,9.715,94.0,12.48,29.03
'0:03.129',-0.269,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.131',-0.295,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.133',-0.308,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.135',-0.314,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.137',-0.314,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.139',-0.31,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.141',-0.311,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.143',-0.324,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.145',-0.33,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.147',-0.32,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.149',-0.321,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.151',-0.33,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.153',-0.328,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.155',-0.326,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.157',-0.322,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.159',-0.322,0.435,5.817,9.722,94.0,12.48,28.8
'0:03.161',-0.333,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.163',-0.331,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.165',-0.32,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.167',-0.33,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.169',-0.338,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.171',-0.33,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.173',-0.322,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.175',-0.322,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.177',-0.33,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.179',-0.331,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.181',-0.328,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.183',-0.33,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.185',-0.333,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.188',-0.332,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.190',-0.328,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.192',-0.327,0.186,5.812,9.732,94.0,12.48,28.58
'0:03.194',-0.33,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.196',-0.327,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.198',-0.324,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.200',-0.321,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.202',-0.322,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.204',-0.33,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.206',-0.326,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.208',-0.32,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.210',-0.32,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.212',-0.319,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.214',-0.316,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.216',-0.313,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.218',-0.315,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.220',-0.316,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.222',-0.31,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.224',-0.31,0.186,5.807,9.74,94.0,12.48,28.42
'0:03.226',-0.311,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.228',-0.311,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.230',-0.309,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.232',-0.309,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.234',-0.313,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.236',-0.316,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.238',-0.321,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.240',-0.317,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.242',-0.319,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.244',-0.322,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.246',-0.321,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.248',-0.324,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.250',-0.322,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.252',-0.319,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.254',-0.328,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.256',-0.327,0.352,5.802,9.75,94.0,12.48,28.29
'0:03.258',-0.315,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.260',-0.315,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.262',-0.324,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.264',-0.331,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.266',-0.332,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.268',-0.333,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.270',-0.338,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.272',-0.337,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.274',-0.332,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.276',-0.331,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.278',-0.332,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.280',-0.332,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.282',-0.335,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.284',-0.337,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.286',-0.338,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.288',-0.338,0.352,5.797,9.76,94.0,12.48,28.1
'0:03.290',-0.337,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.292',-0.339,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.294',-0.341,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.296',-0.337,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.298',-0.335,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.300',-0.331,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.302',-0.326,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.304',-0.321,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.306',-0.314,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.308',-0.311,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.310',-0.309,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.313',-0.303,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.315',-0.298,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.317',-0.295,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.319',-0.294,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.321',-0.294,0.456,5.792,9.772,94.0,12.48,27.87
'0:03.323',-0.289,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.325',-0.291,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.327',-0.294,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.329',-0.288,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.331',-0.273,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.333',-0.261,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.335',-0.256,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.337',-0.244,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.339',-0.227,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.341',-0.219,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.343',-0.221,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.345',-0.228,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.347',-0.231,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.349',-0.228,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.351',-0.232,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.353',-0.239,0.456,5.79,9.785,94.0,12.48,27.65
'0:03.355',-0.242,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.357',-0.249,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.359',-0.262,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.361',-0.273,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.363',-0.28,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.365',-0.284,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.367',-0.289,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.369',-0.303,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.371',-0.311,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.373',-0.309,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.375',-0.311,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.377',-0.32,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.379',-0.328,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.381',-0.335,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.383',-0.336,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.385',-0.343,0.228,5.785,9.802,94.0,12.48,27.42
'0:03.387',-0.35,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.389',-0.347,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.391',-0.348,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.393',-0.352,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.395',-0.353,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.397',-0.352,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.399',-0.35,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.401',-0.358,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.403',-0.363,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.405',-0.363,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.407',-0.361,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.409',-0.359,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.411',-0.36,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.413',-0.36,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.415',-0.358,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.417',-0.365,0.228,5.782,9.822,94.0,12.48,27.19
'0:03.419',-0.37,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.421',-0.364,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.423',-0.363,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.425',-0.363,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.427',-0.364,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.429',-0.366,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.431',-0.363,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.433',-0.364,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.435',-0.369,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.438',-0.367,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.440',-0.365,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.442',-0.363,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.444',-0.369,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.446',-0.37,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.448',-0.361,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.450',-0.363,0.331,5.78,9.847,94.0,12.48,26.98
'0:03.452',-0.371,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.454',-0.371,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.456',-0.366,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.458',-0.366,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.460',-0.367,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.462',-0.364,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.464',-0.361,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.466',-0.36,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.468',-0.36,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.470',-0.365,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.472',-0.366,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.474',-0.366,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.476',-0.382,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.478',-0.397,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.480',-0.396,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.482',-0.378,0.331,5.777,9.867,94.0,12.48,26.81
'0:03.484',-0.347,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.486',-0.306,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.488',-0.251,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.490',-0.172,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.492',-0.078,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.494',0.027,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.496',0.139,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.498',0.276,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.500',0.415,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.502',0.543,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.504',0.67,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.506',0.784,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.508',0.87,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.510',0.862,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.512',0.778,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.514',0.691,0.559,5.777,9.891,94.0,12.48,26.68
'0:03.516',0.557,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.518',0.346,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.520',0.071,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.522',-0.182,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.524',-0.336,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.526',-0.463,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.528',-0.563,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.530',-0.612,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.532',-0.632,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.534',-0.625,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.536',-0.626,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.538',-0.621,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.540',-0.564,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.542',-0.477,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.544',-0.418,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.546',-0.376,0.559,5.777,9.919,94.0,12.48,26.55
'0:03.548',-0.337,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.550',-0.317,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.552',-0.299,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.554',-0.289,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.556',-0.292,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.558',-0.294,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.560',-0.302,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.563',-0.302,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.565',-0.299,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.567',-0.303,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.569',-0.303,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.571',-0.303,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.573',-0.299,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.575',-0.295,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.577',-0.295,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.579',-0.294,0.186,5.775,9.944,94.0,12.48,26.44
'0:03.581',-0.291,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.583',-0.289,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.585',-0.289,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.587',-0.284,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.589',-0.284,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.591',-0.284,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.593',-0.277,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.595',-0.275,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.597',-0.272,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.599',-0.269,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.601',-0.27,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.603',-0.266,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.605',-0.262,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.607',-0.261,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.609',-0.256,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.611',-0.255,0.186,5.775,9.966,94.0,12.48,26.31
'0:03.613',-0.256,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.615',-0.253,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.617',-0.25,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.619',-0.248,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.621',-0.239,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.623',-0.236,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.625',-0.236,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.627',-0.23,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.629',-0.225,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.631',-0.225,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.633',-0.219,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.635',-0.222,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.637',-0.226,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.639',-0.212,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.641',-0.21,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.643',-0.214,0.373,5.772,9.988,94.0,12.48,26.16
'0:03.645',-0.205,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.647',-0.197,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.649',-0.193,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.651',-0.189,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.653',-0.188,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.655',-0.186,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.657',-0.179,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.659',-0.182,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.661',-0.176,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.663',-0.159,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.665',-0.15,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.667',-0.156,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.669',-0.155,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.671',-0.145,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.673',-0.139,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.675',-0.136,0.373,5.772,10.008,94.0,12.48,26.03
'0:03.677',-0.134,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.679',-0.128,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.681',-0.121,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.683',-0.118,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.685',-0.116,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.688',-0.111,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.690',-0.104,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.692',-0.101,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.694',-0.098,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.696',-0.088,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.698',-0.082,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.700',-0.077,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.702',-0.073,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.704',-0.07,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.706',-0.062,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.708',-0.056,0.228,5.772,10.028,89.0,12.48,25.89
'0:03.710',-0.054,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.712',-0.05,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.714',-0.043,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.716',-0.04,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.718',-0.038,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.720',-0.035,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.722',-0.031,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.724',-0.022,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.726',-0.02,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.728',-0.022,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.730',-0.013,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.732',-0.009,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.734',-0.007,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.736',-0.007,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.738',-0.005,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.740',0.001,0.228,5.772,10.048,89.0,12.48,25.81
'0:03.742',0.0,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.744',-0.004,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.746',0.0,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.748',0.004,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.750',0.002,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.752',-0.002,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.754',-0.006,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.756',-0.007,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.758',-0.012,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.760',-0.023,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.762',-0.031,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.764',-0.039,0.249,5.772,10.068,89.0,12.48,25.77
'0:03.766',-0.05,0.249,5.772,10.068,89.0,12.48,25.77
